Product Name,SKU,Part No.,Unit Price,Quantity,Subtotal,Voltage (V),Current (A),Power (W),Notes
"PCIe To M.2 Adapter Board (D) for Raspberry Pi 5, Compatible with 2280 / 2260 / 2242 / 2230 size NVMe Protocol M.2 SSD, Raspberry Pi 5 NVMeSKU:27709Part No.:PCIe TO M.2 Board (D)",Unit Price:€7.21,,IncreaseDecreaseupdate,7,,5.0,0.6 - 2.4,3.0 - 12.0,"Idle: ~2.7W, Peak: ~12W"
"4-Ch PCIe FFC Adapter Board for Raspberry Pi 5, Expands The PCIe Interface Of The Pi 5 To 4-Ch PCIe FFC Connectors, Supports Stacking Multiple PCIe HATs, Raspberry Pi 5 PCIe HATSKU:31527Part No.:PCIe TO 4-CH PCIe HAT",Unit Price:€18.68,,IncreaseDecreaseupdate,18,,5.0,0.6 - 2.4,3.0 - 12.0,"Idle: ~2.7W, Peak: ~12W"
"Official Raspberry Pi Active Cooler for Raspberry Pi 5, Temperature-controlled Blower Fan, Aluminium Heatsink, With Thermal TapesSKU:25939Part No.:Raspberry Pi 5 Official Active Cooler",Unit Price:€5.09,,IncreaseDecreaseupdate,5,,5.0,0.6 - 2.4,3.0 - 12.0,"Idle: ~2.7W, Peak: ~12W"
"10.1inch DSI Capacitive Touch Display, 800×1280, IPS Panel, Optical Bonding Toughened Glass Panel, 10-Point TouchSKU:30052Part No.:10.1-DSI-TOUCH-A",Unit Price:€50.95,,IncreaseDecreaseupdate,50,,5.0,0.1 - 0.5,0.5 - 2.5,Display module
DIY HDMI Cable: 0.5m FFCSKU:14722Part No.:FFC 20PIN 0.5Pitch 0.5m (opposite side contact),Unit Price:€1.01,,IncreaseDecreaseupdate,1,,5.0,0.05 - 0.1,0.25 - 0.5,Generic accessory
DIY HDMI Cable: Micro HDMI Adapter VerticalSKU:23134Part No.:Micro HDMI Adapter Vertical,Unit Price:€2.54,,IncreaseDecreaseupdate,2,,5.0,0.05 - 0.1,0.25 - 0.5,Generic accessory
